onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
0	2	sub-002	1	F	toy	wait	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	2.2	sub-002	1	F	toy	c1_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.2	15	sub-002	1	F	toy	setF_toy2.mp4	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.2	10	sub-002	1	F	toy	fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.2	2.2	sub-002	1	F	toy	sst_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.4	0.5	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.9	1	sub-002	1	F	toy	go2_sweet4.jpeg	1	fMRI	1	sweet	2	0	0	1	0	n/a	0
32.9	0.6	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.5	0.5	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34	0.3	sub-002	1	F	toy	go1_sweet4.jpeg	2	fMRI	1	sweet	1	1	250	3	1	0.711	253
34.3	0.7	sub-002	1	F	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35	0.5	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.5	0.6	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.1	0	sub-002	1	F	toy	go2_sweet3.jpeg	3	fMRI	1	sweet	2	0	0	2	1	0	0
36.1	1	sub-002	1	F	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.1	0.5	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.6	0.6	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38.2	0.2	sub-002	1	F	toy	go1_sweet5.jpeg	4	fMRI	1	sweet	1	1	200	3	2	0.377	203
38.4	0.8	sub-002	1	F	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39.2	0.5	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39.7	0.6	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.3	0.1	sub-002	1	F	toy	go2_sweet2.jpeg	5	fMRI	1	sweet	2	1	150	3	2	0.343	154
40.4	0.9	sub-002	1	F	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
41.3	2.5	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
43.8	0.5	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.3	0.5	sub-002	1	F	toy	go1_sweet6.jpeg	6	fMRI	1	sweet	1	0	0	4	1	0.431	0
44.8	0.5	sub-002	1	F	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.3	2.6	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
47.9	0.5	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.4	0.1	sub-002	1	F	toy	go2_sweet1.jpeg	7	fMRI	1	sweet	2	1	100	3	1	0.415	104
48.5	0.9	sub-002	1	F	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.4	0.5	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.9	0.6	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.5	0.6	sub-002	1	F	toy	go1_sweet2.jpeg	8	fMRI	1	sweet	1	0	0	4	1	0.601	0
51.1	0.4	sub-002	1	F	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51.5	0.5	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52	0.5	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52.5	1	sub-002	1	F	toy	go2_sweet1.jpeg	9	fMRI	1	sweet	2	0	0	1	0	n/a	0
53.5	0.6	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54.1	0.5	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54.6	0	sub-002	1	F	toy	go2_sweet6.jpeg	10	fMRI	1	sweet	2	1	50	3	1	0	55
54.6	1	sub-002	1	F	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.6	0.5	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
56.1	0.6	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
56.7	0	sub-002	1	F	toy	go1_sweet2.jpeg	11	fMRI	1	sweet	1	1	50	3	1	0.392	55
56.7	1	sub-002	1	F	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
57.7	4.5	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
62.2	0.5	sub-002	1	F	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
62.7	0.8	sub-002	1	F	toy	go2_sweet6.jpeg	12	fMRI	1	sweet	2	0	0	4	2	0.769	0
63.5	0.2	sub-002	1	F	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.7	0.6	sub-002	1	F	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
