onset	duration	sub	run_num	commercial_cond	stim_file_name	response	response_time	food_ed	food_taste	sys_onset_time
150.4	15	sub-002	1	food	setB_blockA_food2.mp4	n/a	n/a	low	sweet	520506600
165.4	10	sub-002	1	food	fix	n/a	n/a	low	sweet	520521600
175.4	2	sub-002	1	food	foodviewing_instruct	n/a	n/a	low	sweet	520531600
177.4	0.5	sub-002	1	food	foodview_fix	n/a	n/a	low	sweet	520533600
177.9	1.6	sub-002	1	food	setB_led_sweet1.jpeg	1	873	low	sweet	520534100
179.5	0.5	sub-002	1	food	foodview_fix	n/a	n/a	low	sweet	520535700
180	1.5	sub-002	1	food	setB_led_sweet2.jpeg	2	1182	low	sweet	520536200
181.5	0.6	sub-002	1	food	foodview_fix	n/a	n/a	low	sweet	520537700
182.1	1.5	sub-002	1	food	setB_led_sweet3.jpeg	1	872	low	sweet	520538300
183.6	0.5	sub-002	1	food	foodview_fix	n/a	n/a	low	sweet	520539800
184.1	1.5	sub-002	1	food	setB_led_sweet4.jpeg	2	1000	low	sweet	520540300
185.6	0.6	sub-002	1	food	foodview_fix	n/a	n/a	low	sweet	520541800
186.2	1.5	sub-002	1	food	setB_led_sweet5.jpeg	1	965	low	sweet	520542400
187.7	10	sub-002	1	food	fix	n/a	n/a	low	sweet	520543900
197.7	2.2	sub-002	1	toy	c2_instruct	n/a	n/a	low	savory	520553900
199.9	15.2	sub-002	1	toy	setB_blockA_toy1.mp4	n/a	n/a	low	savory	520556100
215.1	15.9	sub-002	1	toy	setB_blockA_toy2.mp4	n/a	n/a	low	savory	520571300
231	10.1	sub-002	1	toy	fix	n/a	n/a	low	savory	520587200
241.1	2	sub-002	1	toy	foodviewing_instruct	n/a	n/a	low	savory	520597300
243.1	0.5	sub-002	1	toy	foodview_fix	n/a	n/a	low	savory	520599300
243.6	1.5	sub-002	1	toy	setB_led_savory1.jpeg	2	1377	low	savory	520599800
245.1	0.6	sub-002	1	toy	foodview_fix	n/a	n/a	low	savory	520601300
245.7	1.5	sub-002	1	toy	setB_led_savory2.jpeg	2	1401	low	savory	520601900
247.2	0.5	sub-002	1	toy	foodview_fix	n/a	n/a	low	savory	520603400
247.7	1.5	sub-002	1	toy	setB_led_savory3.jpeg	2	1210	low	savory	520603900
249.2	0.6	sub-002	1	toy	foodview_fix	n/a	n/a	low	savory	520605400
249.8	1.5	sub-002	1	toy	setB_led_savory4.jpeg	2	1203	low	savory	520606000
251.3	0.6	sub-002	1	toy	foodview_fix	n/a	n/a	low	savory	520607500
251.9	1.5	sub-002	1	toy	setB_led_savory5.jpeg	2	1104	low	savory	520608100
253.4	10	sub-002	1	toy	fix	n/a	n/a	low	savory	520609600
