onset	duration	sub	run_num	commercial_cond	stim_file_name	response	response_time	food_ed	food_taste	sys_onset_time
0	2.1	sub-002	1	toy	wait	n/a	n/a	high	sweet	520356200
2.1	2.3	sub-002	1	toy	c1_instruct	n/a	n/a	high	sweet	520358300
4.4	15.7	sub-002	1	toy	setB_blockB_toy1.mp4	n/a	n/a	high	sweet	520360600
20.1	15.6	sub-002	1	toy	setB_blockB_toy2.mp4	n/a	n/a	high	sweet	520376300
35.7	10	sub-002	1	toy	fix	n/a	n/a	high	sweet	520391900
45.7	2	sub-002	1	toy	foodviewing_instruct	n/a	n/a	high	sweet	520401900
47.7	0.6	sub-002	1	toy	foodview_fix	n/a	n/a	high	sweet	520403900
48.3	1.5	sub-002	1	toy	setB_hed_sweet1.jpeg	0	n/a	high	sweet	520404500
49.8	0.5	sub-002	1	toy	foodview_fix	n/a	n/a	high	sweet	520406000
50.3	1.6	sub-002	1	toy	setB_hed_sweet2.jpeg	1	0	high	sweet	520406500
51.9	0.5	sub-002	1	toy	foodview_fix	n/a	n/a	high	sweet	520408100
52.4	1.6	sub-002	1	toy	setB_hed_sweet3.jpeg	1	664	high	sweet	520408600
54	0.5	sub-002	1	toy	foodview_fix	n/a	n/a	high	sweet	520410200
54.5	1.5	sub-002	1	toy	setB_hed_sweet4.jpeg	1	878	high	sweet	520410700
56	0.6	sub-002	1	toy	foodview_fix	n/a	n/a	high	sweet	520412200
56.6	1.5	sub-002	1	toy	setB_hed_sweet5.jpeg	1	1	high	sweet	520412800
58.1	10	sub-002	1	toy	fix	n/a	n/a	high	sweet	520414300
68.1	2.2	sub-002	1	food	c2_instruct	n/a	n/a	high	savory	520424300
70.3	15.2	sub-002	1	food	setB_blockB_food1.mp4	n/a	n/a	high	savory	520426500
85.5	15.2	sub-002	1	food	setB_blockB_food2.mp4	n/a	n/a	high	savory	520441700
100.7	10	sub-002	1	food	fix	n/a	n/a	high	savory	520456900
110.7	2	sub-002	1	food	foodviewing_instruct	n/a	n/a	high	savory	520466900
112.7	0.6	sub-002	1	food	foodview_fix	n/a	n/a	high	savory	520468900
113.3	1.5	sub-002	1	food	setB_hed_savory1.jpeg	1	637	high	savory	520469500
114.8	0.5	sub-002	1	food	foodview_fix	n/a	n/a	high	savory	520471000
115.3	1.5	sub-002	1	food	setB_hed_savory2.jpeg	1	665	high	savory	520471500
116.8	0.6	sub-002	1	food	foodview_fix	n/a	n/a	high	savory	520473000
117.4	1.5	sub-002	1	food	setB_hed_savory3.jpeg	1	424	high	savory	520473600
118.9	0.5	sub-002	1	food	foodview_fix	n/a	n/a	high	savory	520475100
119.4	1.6	sub-002	1	food	setB_hed_savory4.jpeg	0	n/a	high	savory	520475600
121	0.5	sub-002	1	food	foodview_fix	n/a	n/a	high	savory	520477200
121.5	1.5	sub-002	1	food	setB_hed_savory5.jpeg	1	0	high	savory	520477700
123	10	sub-002	1	food	fix	n/a	n/a	high	savory	520479200
133	2.2	sub-002	1	food	c2_instruct	n/a	n/a	low	sweet	520489200
135.2	15.2	sub-002	1	food	setB_blockA_food1.mp4	n/a	n/a	low	sweet	520491400
