onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
0	2	sub-002	3	D	toy	wait	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	2.2	sub-002	3	D	toy	c1_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.2	15.8	sub-002	3	D	toy	setD_toy2.mp4	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20	10.1	sub-002	3	D	toy	fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.1	2.1	sub-002	3	D	toy	sst_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.2	0.6	sub-002	3	D	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.8	0.7	sub-002	3	D	toy	go2_sweet3.jpeg	145	fMRI	1	sweet	2	0	0	4	2	0.7	0
33.5	0.3	sub-002	3	D	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.8	0.5	sub-002	3	D	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.3	0.5	sub-002	3	D	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.8	0.6	sub-002	3	D	toy	go1_sweet5.jpeg	146	fMRI	1	sweet	1	0	0	4	1	0.532	0
35.4	0.4	sub-002	3	D	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.8	0.6	sub-002	3	D	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.4	0.5	sub-002	3	D	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.9	0.3	sub-002	3	D	toy	go2_sweet2.jpeg	147	fMRI	1	sweet	2	1	250	3	2	0.56	254
37.2	0.7	sub-002	3	D	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.9	0.5	sub-002	3	D	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38.4	0.6	sub-002	3	D	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39	0.5	sub-002	3	D	toy	go1_sweet4.jpeg	148	fMRI	1	sweet	1	0	0	4	1	0.485	0
39.5	0.5	sub-002	3	D	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40	0.5	sub-002	3	D	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.5	0.5	sub-002	3	D	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
41	0.5	sub-002	3	D	toy	go2_sweet1.jpeg	149	fMRI	1	sweet	2	0	0	4	2	0.471	0
41.5	0.5	sub-002	3	D	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
42	2.6	sub-002	3	D	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.6	0.5	sub-002	3	D	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.1	0.6	sub-002	3	D	toy	go2_sweet6.jpeg	150	fMRI	1	sweet	2	0	0	4	2	0.585	0
45.7	0.4	sub-002	3	D	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
46.1	2.5	sub-002	3	D	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.6	0.6	sub-002	3	D	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.2	0.4	sub-002	3	D	toy	go2_sweet3.jpeg	151	fMRI	1	sweet	2	0	0	4	2	0.424	0
49.6	0.6	sub-002	3	D	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.2	0.5	sub-002	3	D	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.7	0.5	sub-002	3	D	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51.2	0.6	sub-002	3	D	toy	go1_sweet1.jpeg	152	fMRI	1	sweet	1	0	0	4	1	0.537	0
51.8	0.4	sub-002	3	D	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
