onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
0	2	sub-002	4	A	food	wait	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	2.2	sub-002	4	A	food	c1_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.2	15	sub-002	4	A	food	setA_food1.mp4	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.2	10	sub-002	4	A	food	fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.2	2.2	sub-002	4	A	food	sst_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.4	0.5	sub-002	4	A	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.9	0.6	sub-002	4	A	food	go1_savory1.jpeg	217	fMRI	1	savory	1	0	0	4	1	0.545	0
32.5	0.4	sub-002	4	A	food	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.9	0.6	sub-002	4	A	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.5	0.5	sub-002	4	A	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34	0.4	sub-002	4	A	food	go1_savory6.jpeg	218	fMRI	1	savory	1	0	0	4	1	0.439	0
34.4	0.6	sub-002	4	A	food	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35	0.5	sub-002	4	A	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.5	0.6	sub-002	4	A	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.1	0.8	sub-002	4	A	food	go2_savory6.jpeg	219	fMRI	1	savory	2	0	0	4	2	0.799	0
36.9	0.2	sub-002	4	A	food	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.1	0.5	sub-002	4	A	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.6	0.5	sub-002	4	A	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
