onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
245.8	0.9	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
246.7	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
247.2	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
247.7	0.2	sub-002	6	E	toy	go1_sweet5.jpeg	421	fMRI	2	sweet	1	1	200	4	0	n/a	203
247.9	0.8	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
248.7	4.6	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
253.3	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
253.8	0.6	sub-002	6	E	toy	go1_sweet2.jpeg	422	fMRI	2	sweet	1	0	0	4	1	0.591	0
254.4	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
254.8	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
255.3	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
255.8	0.3	sub-002	6	E	toy	go1_sweet1.jpeg	423	fMRI	2	sweet	1	1	250	4	0	n/a	253
256.1	0.8	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
256.9	2.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
259.4	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
259.9	1	sub-002	6	E	toy	go1_sweet6.jpeg	424	fMRI	2	sweet	1	0	0	1	0	n/a	0
260.9	2.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
263.4	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
264	0.8	sub-002	6	E	toy	go2_sweet1.jpeg	425	fMRI	2	sweet	2	0	0	4	2	0.875	0
264.8	0.2	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
265	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
265.5	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
266	0.8	sub-002	6	E	toy	go2_sweet5.jpeg	426	fMRI	2	sweet	2	0	0	4	2	0.752	0
266.8	0.2	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
267	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
267.5	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
268.1	0.5	sub-002	6	E	toy	go2_sweet6.jpeg	427	fMRI	2	sweet	2	0	0	4	2	0.501	0
268.6	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
269.1	4.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
273.6	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
274.1	0.6	sub-002	6	E	toy	go1_sweet6.jpeg	428	fMRI	2	sweet	1	0	0	4	1	0.546	0
274.7	0.4	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
275.1	0.6	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
275.7	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
276.2	0.3	sub-002	6	E	toy	go2_sweet2.jpeg	429	fMRI	2	sweet	2	1	300	3	2	0.59	304
276.5	0.7	sub-002	6	E	toy	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
277.2	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
277.7	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
278.2	0.5	sub-002	6	E	toy	go1_sweet2.jpeg	430	fMRI	2	sweet	1	0	0	4	1	0.448	0
278.7	0.6	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
279.3	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
279.8	0.5	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
280.3	0.5	sub-002	6	E	toy	go1_sweet1.jpeg	431	fMRI	2	sweet	1	0	0	2	2	0.534	0
280.8	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
281.3	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
281.8	0.6	sub-002	6	E	toy	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
282.4	0.5	sub-002	6	E	toy	go2_sweet2.jpeg	432	fMRI	2	sweet	2	0	0	4	2	0.52	0
282.9	0.5	sub-002	6	E	toy	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
283.4	0.5	sub-002	6	E	toy	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
283.9	10	sub-002	6	E	toy	fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
