onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
0	2	sub-002	5	C	food	wait	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	2.1	sub-002	5	C	food	c1_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.1	15	sub-002	5	C	food	setC_food2.mp4	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.1	10	sub-002	5	C	food	fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.1	2.1	sub-002	5	C	food	sst_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.2	0.6	sub-002	5	C	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.8	0.7	sub-002	5	C	food	go1_sweet2.jpeg	289	fMRI	1	sweet	1	0	0	4	1	0.704	0
32.5	0.3	sub-002	5	C	food	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.8	0.5	sub-002	5	C	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.3	0.6	sub-002	5	C	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.9	0.5	sub-002	5	C	food	go1_sweet5.jpeg	290	fMRI	1	sweet	1	0	0	4	1	0.55	0
34.4	0.5	sub-002	5	C	food	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.9	0.5	sub-002	5	C	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.4	0.5	sub-002	5	C	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.9	0.6	sub-002	5	C	food	go2_sweet6.jpeg	291	fMRI	1	sweet	2	0	0	4	2	0.591	0
36.5	0.5	sub-002	5	C	food	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37	0.5	sub-002	5	C	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.5	0.5	sub-002	5	C	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
