onset	duration	sub	run_num	set	run_cond	stim_file_name	trial_num	type	block	img_cat	go_stim	signal	reqSSD	correct	response	response_time	trueSSD
0	2	sub-002	2	B	food	wait	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	2.2	sub-002	2	B	food	c1_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.2	15	sub-002	2	B	food	setB_food1.mp4	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.2	10	sub-002	2	B	food	fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.2	2.1	sub-002	2	B	food	sst_instruct	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.3	0.6	sub-002	2	B	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.9	0.2	sub-002	2	B	food	go1_savory4.jpeg	73	fMRI	1	savory	1	1	250	4	0	n/a	253
32.1	0.8	sub-002	2	B	food	sst_signal	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.9	0.6	sub-002	2	B	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.5	0.5	sub-002	2	B	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34	0.7	sub-002	2	B	food	go1_savory3.jpeg	74	fMRI	1	savory	1	0	0	4	1	0.664	0
34.7	0.3	sub-002	2	B	food	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35	0.5	sub-002	2	B	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.5	0.6	sub-002	2	B	food	sst_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.1	0.3	sub-002	2	B	food	go1_savory1.jpeg	75	fMRI	1	savory	1	0	0	4	1	0.384	0
36.4	0.7	sub-002	2	B	food	post_go_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.1	0.5	sub-002	2	B	food	jitter_fix	n/a	fMRI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
