onset	duration	sub	run_num	commercial_cond	stim_file_name	response	response_time	food_ed	food_taste	sys_onset_time
0	2	sub-002	3	toy	wait	n/a	n/a	high	sweet	520937700
2	2.2	sub-002	3	toy	c1_instruct	n/a	n/a	high	sweet	520939700
4.2	15.1	sub-002	3	toy	setD_blockB_toy1.mp4	n/a	n/a	high	sweet	520941900
19.3	16	sub-002	3	toy	setD_blockB_toy2.mp4	n/a	n/a	high	sweet	520957000
35.3	10	sub-002	3	toy	fix	n/a	n/a	high	sweet	520973000
45.3	2	sub-002	3	toy	foodviewing_instruct	n/a	n/a	high	sweet	520983000
47.3	0.6	sub-002	3	toy	foodview_fix	n/a	n/a	high	sweet	520985000
47.9	1.5	sub-002	3	toy	setD_hed_sweet1.jpeg	1	1097	high	sweet	520985600
49.4	0.5	sub-002	3	toy	foodview_fix	n/a	n/a	high	sweet	520987100
49.9	1.6	sub-002	3	toy	setD_hed_sweet2.jpeg	1	642	high	sweet	520987600
51.5	0.5	sub-002	3	toy	foodview_fix	n/a	n/a	high	sweet	520989200
52	1.5	sub-002	3	toy	setD_hed_sweet3.jpeg	1	575	high	sweet	520989700
53.5	0.6	sub-002	3	toy	foodview_fix	n/a	n/a	high	sweet	520991200
54.1	1.5	sub-002	3	toy	setD_hed_sweet4.jpeg	1	737	high	sweet	520991800
55.6	0.5	sub-002	3	toy	foodview_fix	n/a	n/a	high	sweet	520993300
56.1	1.6	sub-002	3	toy	setD_hed_sweet5.jpeg	1	1094	high	sweet	520993800
57.7	10	sub-002	3	toy	fix	n/a	n/a	high	sweet	520995400
67.7	2.2	sub-002	3	food	c2_instruct	n/a	n/a	high	savory	521005400
69.9	15.1	sub-002	3	food	setD_blockB_food1.mp4	n/a	n/a	high	savory	521007600
85	15	sub-002	3	food	setD_blockB_food2.mp4	n/a	n/a	high	savory	521022700
100	10	sub-002	3	food	fix	n/a	n/a	high	savory	521037700
110	2	sub-002	3	food	foodviewing_instruct	n/a	n/a	high	savory	521047700
112	0.5	sub-002	3	food	foodview_fix	n/a	n/a	high	savory	521049700
112.5	1.6	sub-002	3	food	setD_hed_savory1.jpeg	1	750	high	savory	521050200
114.1	0.5	sub-002	3	food	foodview_fix	n/a	n/a	high	savory	521051800
114.6	1.5	sub-002	3	food	setD_hed_savory2.jpeg	1	934	high	savory	521052300
116.1	0.5	sub-002	3	food	foodview_fix	n/a	n/a	high	savory	521053800
116.6	1.6	sub-002	3	food	setD_hed_savory3.jpeg	1	924	high	savory	521054300
118.2	0.5	sub-002	3	food	foodview_fix	n/a	n/a	high	savory	521055900
118.7	1.5	sub-002	3	food	setD_hed_savory4.jpeg	1	1093	high	savory	521056400
120.2	0.6	sub-002	3	food	foodview_fix	n/a	n/a	high	savory	521057900
120.8	1.5	sub-002	3	food	setD_hed_savory5.jpeg	1	1005	high	savory	521058500
122.3	10	sub-002	3	food	fix	n/a	n/a	high	savory	521060000
132.3	2.2	sub-002	3	food	c2_instruct	n/a	n/a	low	sweet	521070000
134.5	15.1	sub-002	3	food	setD_blockA_food1.mp4	n/a	n/a	low	sweet	521072200
149.6	15	sub-002	3	food	setD_blockA_food2.mp4	n/a	n/a	low	sweet	521087300
164.6	10	sub-002	3	food	fix	n/a	n/a	low	sweet	521102300
174.6	2	sub-002	3	food	foodviewing_instruct	n/a	n/a	low	sweet	521112300
176.6	0.6	sub-002	3	food	foodview_fix	n/a	n/a	low	sweet	521114300
177.2	1.5	sub-002	3	food	setD_led_sweet1.jpeg	0	n/a	low	sweet	521114900
178.7	0.5	sub-002	3	food	foodview_fix	n/a	n/a	low	sweet	521116400
179.2	1.5	sub-002	3	food	setD_led_sweet2.jpeg	0	n/a	low	sweet	521116900
180.7	0.6	sub-002	3	food	foodview_fix	n/a	n/a	low	sweet	521118400
181.3	1.5	sub-002	3	food	setD_led_sweet3.jpeg	0	n/a	low	sweet	521119000
182.8	0.5	sub-002	3	food	foodview_fix	n/a	n/a	low	sweet	521120500
183.3	1.6	sub-002	3	food	setD_led_sweet4.jpeg	1	284	low	sweet	521121000
184.9	0.5	sub-002	3	food	foodview_fix	n/a	n/a	low	sweet	521122600
185.4	1.5	sub-002	3	food	setD_led_sweet5.jpeg	2	760	low	sweet	521123100
186.9	10	sub-002	3	food	fix	n/a	n/a	low	sweet	521124600
196.9	2.2	sub-002	3	toy	c2_instruct	n/a	n/a	low	savory	521134600
199.1	15.4	sub-002	3	toy	setD_blockA_toy1.mp4	n/a	n/a	low	savory	521136800
214.5	15	sub-002	3	toy	setD_blockA_toy2.mp4	n/a	n/a	low	savory	521152200
229.5	10.1	sub-002	3	toy	fix	n/a	n/a	low	savory	521167200
239.6	2	sub-002	3	toy	foodviewing_instruct	n/a	n/a	low	savory	521177300
241.6	0.5	sub-002	3	toy	foodview_fix	n/a	n/a	low	savory	521179300
242.1	1.5	sub-002	3	toy	setD_led_savory1.jpeg	2	842	low	savory	521179800
243.6	0.6	sub-002	3	toy	foodview_fix	n/a	n/a	low	savory	521181300
244.2	1.5	sub-002	3	toy	setD_led_savory2.jpeg	2	839	low	savory	521181900
245.7	0.5	sub-002	3	toy	foodview_fix	n/a	n/a	low	savory	521183400
246.2	1.6	sub-002	3	toy	setD_led_savory3.jpeg	2	653	low	savory	521183900
247.8	0.5	sub-002	3	toy	foodview_fix	n/a	n/a	low	savory	521185500
248.3	1.5	sub-002	3	toy	setD_led_savory4.jpeg	2	791	low	savory	521186000
249.8	0.6	sub-002	3	toy	foodview_fix	n/a	n/a	low	savory	521187500
250.4	1.5	sub-002	3	toy	setD_led_savory5.jpeg	2	1436	low	savory	521188100
251.9	10	sub-002	3	toy	fix	n/a	n/a	low	savory	521189600
