global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17
927.1514536275332	n/a	859609.8179636479	n/a	942.010215897158	n/a	887383.2468546102	n/a	862.0508947259862	n/a	743131.7450978733	n/a	880.2163119639961	732.3207530792995	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-9.11268e-06	n/a	n/a	8.30409367824e-11	-0.0208995	n/a	0.00043678910025	n/a	0.046644	n/a	n/a	0.0021756627359999	-0.00314398	n/a	n/a	9.8846102404e-06	0.000522355	n/a	n/a	2.72854746025e-07	0.000594921	n/a	3.53930996241e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
948.6599471016964	21.50849347416317	899955.6952349934	462.6152915281198	984.8595165574408	42.84930066028278	969948.267353756	1836.0625670753104	882.2336105166559	20.182715790669704	778336.1435252544	407.3420166869482	904.0007403756556	741.9054615903311	5.768201	101.815346	2.78935873732	2.02367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0165083	-0.01649918732	0.0002722231822204	0.00027252396889	-0.39751	-0.3766104999999999	0.1580142000999999	0.1418354687102499	0.412952	0.3663079999999999	0.1341815508639999	0.1705293543039999	-0.0411452	-0.03800122	0.0014440927214884	0.00169292748304	0.000287915	-0.0002344399999999	5.4962113599999976e-08	8.289504722500002e-08	-0.00176824	-0.002363161	3.1266726976e-06	5.584529911921e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
964.0243626960564	15.364415594360024	929342.9718715376	236.06526655621357	972.934242891978	-11.925273665462782	946601.0409917864	142.21215199618015	890.9581420795512	8.724531562895322	793806.4109378457	76.11745099195669	909.3930801400028	735.9969960535461	4.249876	75.01515999999998	0.4752784999999999	0.416274	-0.0215938561	-0.0274542651	0.1149346209	-0.3876741667	-0.0320840672	-0.0010837856	0.0665618282	-0.068995412	0.0720232334	-0.0637445888	0.0461647566	-0.0354894191	0.0351600596	-0.2294645193	0.1071381937	-0.3290691688	-0.1127082224	0.156842316	-0.1463877936	0.0471830869	-0.0406543161	0.1760021281	-0.2374131968	-0.0896763581	0.0076356447	-0.0249409427	0.0048271128	-0.1071068864	0.0365619062	-0.0272132377	0.0209839407	-0.0125108359	0.0180095853	-0.0423095591	0.0021002263	-0.0259578339	0.0070155688	-0.0455377317	0.1494715215	0.015096827	-0.126139062	0.025854841	0.049092135	-0.0592546393	-0.0156314835	0.018490774	-0.0280610773	-0.0009091055	0.0273776614	-0.1188254958	0.2837018582	-0.1295135062	-0.2834513054	0.3135608536	-0.183787847	0.1076954216	-0.0272372974	0.1608556271	-0.1010816169	0.036153974	-0.011910883	0.0166605374	-0.1538971591	0.0384633527	-0.0924072543	0.0403291232	-0.101473664	0.0726382293	-0.0136063012	0.040219633	-0.0802395735	0.1111171256	-0.0860786153	0.060326081	-0.0654883187	0.0753933578	-0.0082687177	-0.0195945432	-0.0228216288	0.0048516142	-0.2550529214	0.1520180074	-0.1137646806	0.0149769301	-0.1494970437	0.2019444437	-0.0417855581	0.0959562834	-0.0283539055	0.1291856745	-0.1323902897	0.0098792285	-0.1040326006	0.1763763684	-0.0145616976	0.2982315118	-0.124247263	0.1448094045	-0.2218683304	-0.2413986282	0.1819560162	0.1170343733	0.1170140524	0.1169801869	0.0	0.0	-0.0164416	6.66999999999994e-05	4.44888999999992e-09	0.00027032621056	-0.328667	0.0688429999999999	0.108021996889	0.0047393586489999	0.413877	0.000925	8.556250000000169e-07	0.171294171129	-0.0331332	0.0080119999999999	6.419214399999998e-05	0.00109780894224	0.000318391	3.0475999999999984e-05	9.28786575999999e-10	1.01372828881e-07	-0.00183464	-6.64000000000001e-05	3.3659039296e-06	4.408960000000013e-09	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
966.2199859046812	2.1956232086247383	933581.0611616422	4.820761274251591	976.180550494826	3.246307602847992	952928.4671643816	10.538513052308677	890.3809042507642	-0.5772378287870197	792778.1546544085	0.3332035109827526	908.8103875634685	739.307589609354	1.077061	19.011349	0.14176625	0.0702702	-0.0175989358	-0.0287353621	0.0972807179	-0.2115329729	0.0282447593	0.0196838089	0.0092067153	-0.0790430639	0.0890893684	-0.1180955833	0.0535123654	-0.0324569656	0.0522857976	-0.208034257	0.0800438533	-0.3115353077	-0.1009864099	0.1544306163	-0.1022986263	-0.0404047863	-0.009829929	0.1620367698	-0.1053319914	-0.0012963865	-0.026849982	-0.1376559009	0.0428652556	-0.055682216	-0.0181228614	0.0653792673	0.0015795129	-0.1034295678	-0.015029121	-0.0694080237	-0.0297220243	0.0024074064	0.0197527121	-0.0545816414	-0.063104993	0.0610644691	-0.1212370355	-0.0129323597	0.0006488866	-0.0132342828	-0.0231121411	-0.0198033047	-0.0298111707	0.0230139204	0.0309549184	-0.1236870877	0.2427476726	-0.1406485502	-0.214407851	0.2242478244	-0.1487391417	0.037022159	-0.0499067024	0.1866499042	-0.0115516915	-0.0037490199	0.0618831023	0.0911556087	-0.0208783073	-0.0447716011	0.0035088006	0.0313117745	-0.0152497262	-0.0225840988	-0.017296764	0.0564951898	0.0232390897	0.0433767205	0.0457550845	-0.0035491802	0.0698597555	-0.006558202	0.0518092688	-0.0164182445	-0.0389690245	-0.0117317372	-0.2623205564	0.1132050956	-0.0701965253	0.1084676723	-0.1501156528	0.0572945241	-0.0394707752	0.1924063988	-0.0842014802	0.1021309218	-0.0576641705	-0.0229962916	-0.1130633159	-0.0789104643	0.0232259868	0.1013664538	-0.0333526632	-0.0150178786	0.1393875415	0.0485209741	-0.0451828302	0.1169801869	0.1167973693	0.116492885	0.0	0.0	-0.0286162	-0.0121746	0.00014822088516	0.00081888690244	-0.376437	-0.04777	0.141704814969	0.0022819729	0.454169	0.0402919999999999	0.0016234452639999	0.206269480561	-0.0328376	0.0002956	8.737936000000001e-08	0.00107830797376	0.000818964	0.000500573	2.5057332832900004e-07	6.707020332960001e-07	-0.00180022	3.442000000000007e-05	3.2407920484e-06	1.1847364000000044e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
965.1526911049108	-1.067294799770366	931519.7171470514	1.1391181896168654	974.0213386351804	-2.159211859645552	948717.5681166688	4.662195854834003	884.5506494531744	-5.83025479758976	782429.8514480327	33.99187100481841	901.7477921518024	727.726759617005	0.746264	13.172416	0.0736282499999998	0.0334286	-0.0219839831	-0.0600681211	0.0574198901	-0.1810038349	0.0218802409	0.0510733975	-0.0139482418	-0.0764440262	0.1053678547	-0.0277193298	0.0885375913	-0.0113016451	0.0499363387	-0.012387876	0.0633789658	-0.1946261949	-0.0214146949	0.0056720912	0.1206732673	-0.0755567165	-0.0373477568	-0.0435001547	0.1944591126	0.2118770504	-0.1791505303	-0.0435847589	-0.0263393029	0.1013954615	0.093452567	-0.01341076	-0.0543709778	-0.0868261622	0.0347849373	0.0411814296	0.0893643238	0.0986540706	0.0155928984	0.1085024326	-0.0268924705	0.0145342711	0.0650042059	-0.0116599104	-0.0155986012	0.112067119	0.0433261744	-0.0445237574	-0.0159277686	0.0186557198	0.0411354732	-0.1193954299	0.0201677645	-0.1215227969	-0.0871617563	0.0393380371	0.0097760937	-0.0341634583	0.0606501414	-0.076861953	0.2167044891	-0.043023734	0.1187575175	0.1335238196	0.2297234466	0.0329997442	0.1823697646	0.0838179926	-0.0349282436	-0.0617501827	0.0986217674	0.0152679069	0.0473593585	0.0566781225	0.1093071226	0.0889438023	-0.0091905743	0.0617507935	-0.0358609658	-0.0249306088	-0.0292960284	0.001270578	-0.2978408234	-0.0273392338	0.0073076362	0.1721571941	-0.0890713089	0.0455034121	-0.0246859239	0.122246826	-0.0979345855	0.0772470927	-0.0365443457	-0.0106737557	-0.0812430336	-0.1363673509	0.0081523471	0.0273052933	-0.1007071404	-0.0471718148	0.0432243304	0.0160031839	0.0259488671	0.116871839	0.1163644044	0.1155203113	0.0	0.0	-0.0432244	-0.0146082	0.00021339950724	0.00186834875536	-0.381252	-0.0048149999999999	0.1453530875039999	2.31842249999996e-05	0.477346	0.023177	0.000537173329	0.227859203716	-0.0330798	-0.0002421999999999	5.866083999999903e-08	0.0010942731680399	0.000696233	-0.000122731	1.5062898361000014e-08	4.84740390289e-07	-0.00205585	-0.00025563	4.226519222500001e-06	6.534669690000009e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
966.2773709162484	1.1246798113376144	933691.9575448172	1.2649046780304118	972.6262196920004	-1.395118943180023	946001.7632323514	1.9463568656197443	884.7364451519353	0.1857956987608986	782758.5773800834	0.0345200416780505	901.5620214587613	733.974591344538	0.791718	13.974729	0.06937135	0.0343604	-0.0249429266	-0.1038929381	-0.0251205197	-0.1506320024	-0.0273518372	0.0910089934	-0.004137888	-0.0692039031	0.1451599205	0.0775934122	0.0591218852	-0.0131448554	0.0245228783	0.0050565679	0.0429767383	-0.0755853626	0.0790765513	0.0648313992	0.0587786584	-0.0981646426	-0.0381604057	-0.1101895306	0.099724453	0.0165788768	-0.0983275363	-0.044559959	0.0628432902	-0.0058587362	0.0878267614	-0.1142528722	-0.0602654074	0.029026465	-0.0582861723	0.0347632743	-0.0569370082	0.094757256	0.0382726528	0.1598375608	-0.0263706629	-0.0556723112	-0.0138191503	0.0008413931	-0.0173607803	0.1651068288	0.0531260336	0.1155942521	-0.0117668169	-0.0197553941	0.0132490118	-0.1215831947	-0.0282509285	-0.1702080561	0.0443567184	-0.0251980735	-0.0590015516	-0.0138732128	0.0221465159	-0.1141206605	0.1140145484	0.0117145243	0.0957892894	0.0694404625	0.1027197133	0.0419939675	0.0540202057	0.0130985897	0.1112130849	-0.0511742125	0.0647518543	0.0461161425	0.0259511125	-0.0149503958	0.0218900785	0.0582613209	-0.1050690949	0.0782940761	0.1145180329	-0.0226143371	-0.0342694739	-0.0012343363	-0.2639138299	-0.0247772554	0.0484715279	0.1847655111	-0.0124838662	-0.1236159087	0.0152865098	0.0159960724	-0.1135956339	-0.0950909195	-0.105249581	0.0603984336	-0.0236698204	-0.1135020237	0.0516265099	0.001368079	-0.0660973161	-0.0530706223	0.0459928647	0.12161285	-0.0680476714	0.11670938	0.1157159594	0.1140665172	0.0	0.0	-0.0371204	0.006104	3.725881600000006e-05	0.0013779240961599	-0.404231	-0.022979	0.163402701361	0.000528034441	0.485801	0.0084549999999999	7.148702499999983e-05	0.2360026116009999	-0.0330798	0.0	0.0	0.0010942731680399	0.00105326	0.000357027	1.274682787290001e-07	1.1093566276000005e-06	-0.00177621	0.00027964	3.1549219641000004e-06	7.819852960000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
965.6654663778684	-0.6119045383800312	932509.792954786	0.3744271640900791	972.2555638968228	-0.3706557951776403	945280.8815283288	0.1373857184987688	884.3387438306117	-0.3977013213235523	782055.0138399043	0.1581663409824993	900.5957390518231	738.595768594833	1.06515	18.801117	0.0716801	0.044391	-0.0298479357	-0.0609083757	-0.1268970249	-0.0321897934	-0.0809164306	0.076515677	-0.0526651708	0.014559577	0.0428787076	0.1812546126	0.0652779679	0.0004817871	0.0389058496	0.0642580194	0.0475830934	0.0311999597	0.2124658559	-0.0027998123	-0.0266352498	-0.1427610919	-0.0122018184	-0.0584382518	0.0941736862	0.1060699131	0.1832712015	0.0334457254	0.1400760379	0.1169891925	0.1237761892	-0.0477045045	0.1431710695	0.006956596	-0.0878353665	-0.0624995883	-0.0077752865	0.1097643189	0.0806361774	0.0531275273	0.0821012999	-0.0242593607	-0.1702864775	0.1855476374	0.0260299198	0.0443572836	-0.0054133048	-0.0719069744	-0.0114325174	-0.0478300068	0.0363973686	-0.0831537009	-0.131575751	-0.0323323356	0.1773534303	0.0140699157	-0.1007567939	0.0517800613	0.0241691022	-0.0240695257	-0.0255376907	0.0183616828	0.0267140809	-0.0244261624	0.1696733316	0.1555086348	0.1756226237	-0.1388376433	0.0872560267	0.0221607003	0.1032708857	0.0621225873	-0.0619602306	0.1032731769	-0.1293374269	-0.1017244123	0.0371186896	0.10415567	0.1185723005	-0.0255310746	-0.0141815002	-0.0102692042	-0.157150226	-0.0047996409	0.0870280107	0.1345033715	-0.019173958	-0.1458765322	0.0795880732	-0.1581707752	-0.0626757128	-0.0401359838	-0.0436214231	0.0017921584	0.0202816512	-0.1545322406	0.0791275997	-0.0902095944	-0.03789566	-0.1086747521	-0.0164357239	0.0357002226	-0.0172210183	0.116492885	0.114853235	0.1121375586	0.0	0.0	-0.0329658	0.0041545999999999	1.7260701159999955e-05	0.00108674396964	-0.373066	0.0311649999999999	0.139178240356	0.0009712572249999	0.516758	0.030957	0.000958335849	0.2670388305640001	-0.0330798	0.0	0.0	0.0010942731680399	0.00111837	6.510999999999995e-05	4.2393120999999936e-09	1.2507514569e-06	-0.00181917	-4.295999999999987e-05	3.3093794889e-06	1.8455615999999887e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
964.840699079281	-0.8247672985874033	930917.5745997956	0.6802410968191628	969.193576766784	-3.0619871300388013	939336.189245992	9.375765184523257	884.285527916019	-0.0532159145927835	781960.8948817124	0.0028319335659464	900.6232856569337	732.2981323986163	0.910249	16.066929	0.0956991000000001	0.0622614	-0.0481038575	0.0172156076	-0.1228879439	-0.0502831434	-0.0893568494	0.0033597053	-0.0547260396	-0.0237898046	-0.0358963703	0.1054067511	0.0811869425	-0.0008387859	0.0307201738	0.0401815604	-0.0545756638	-0.0118659395	0.1070922963	-0.0806433738	-0.0797089231	-0.2035460414	0.0680106912	-0.1149918335	-0.0448182467	0.0464804924	0.0839433846	0.0331059029	0.0789215501	0.0380120911	0.1200995572	-0.1540362267	0.1310663264	0.008843564	0.0644099527	0.0102372257	0.0858122991	-0.1680627582	-0.0626915432	-0.1649833838	0.0068077123	0.0881838431	0.0153232237	-0.0852394382	0.0981349489	-0.0062149067	-0.0631941002	0.078239854	-0.0164393092	-0.1000082127	0.0402715221	-0.013127376	-0.0811473042	0.038640467	0.116694739	0.0521834149	-0.1154604976	-0.0511792901	0.0148319469	-0.0106522842	-0.1384179878	0.0016860877	-0.031991002	0.0799868487	0.1606583771	0.028542093	0.0017457876	0.0029190865	0.1516356317	0.0061365108	-0.0096410845	0.0801791904	-0.2943521551	0.0090024639	-0.0881004445	-0.1584708748	-0.0369662487	-0.1013061938	-0.0168360152	-0.0393856288	-0.0114048405	0.0165786521	-0.1101359041	-0.0302870576	0.020789389	0.0024826003	-0.0837473136	-0.1464027197	0.0469413172	-0.1994925531	0.0072611036	-0.0369391008	-0.0317361185	-0.0489222241	-0.0049159862	-0.1095856158	0.0333378472	-0.0478938058	0.0519858794	-0.0264942201	-0.0240324338	-0.000409231	-0.0454156618	0.1162224543	0.1137778289	0.1097414711	0.0	0.0	-0.0314437	0.0015221	2.3167884100000166e-06	0.00098870626969	-0.33697	0.036096	0.1135487809	0.001302921216	0.516329	-0.000429	1.840410000000109e-07	0.266595636241	-0.0341199	-0.0010401	1.0818080100000045e-06	0.00116416757601	0.00120943	9.106e-05	8.291923600000003e-09	1.4627209249e-06	-0.00184105	-2.1880000000000163e-05	3.3894651025000003e-06	4.787344000000072e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
963.9449839777272	-0.8957151015537193	929189.9321358209	0.8023055431513896	967.96431350708	-1.2292632597039983	936954.9122232326	1.5110881616580996	884.0101601406052	-0.2753677754137698	781473.9632318184	0.0758274117363283	900.4772008751586	738.2419250955089	0.937924	16.555429	0.0637644	0.0279017	-0.0498628427	0.1044951606	-0.0522652279	-0.0347703992	-0.0191071823	-0.1227213772	-0.0304644545	0.0002735937	-0.1219998874	0.1242787967	-0.017546012	-0.0127367544	0.0398828895	0.0997866302	-0.1247977157	0.0493416305	-0.0235949168	-0.0523246288	-0.1679118769	0.0173523613	0.038271944	-0.0643267784	-0.0335472544	-0.0448218128	-0.0329000237	0.1460078101	0.1626349812	0.0146927081	0.0357104888	-0.0569985032	0.1150322737	0.0102722826	-0.0078034109	-0.0554186405	0.0223232484	0.0054632544	-0.0683779013	-0.0749149442	-0.1084046906	-0.0569619633	0.136700295	0.0062745963	0.0666397173	0.0695061922	-0.063038887	0.1177482291	-0.0217589898	-0.0760167687	0.0510737324	0.1040627112	-0.0802281139	0.1123377915	0.0732139571	0.0453929362	-0.0437686709	-0.0535594888	-0.018539349	-0.1872581676	-0.0604685159	-0.1332281537	-0.1291191424	0.1407135273	-0.1186334894	0.094673539	-0.0691461395	0.0620335775	0.0609493598	-0.0677515924	-0.1243364252	0.023501615	-0.1491869153	0.0197056127	-0.081963184	-0.0009711111	0.1381663856	-0.0332713488	0.0389952649	-0.0405788402	-0.0059849602	0.0142632101	-0.068275092	0.0471115835	-0.053623464	-0.1270640191	-0.1454532122	-0.1480501762	-0.0235603716	-0.1665785798	0.0121550439	-0.0063590442	0.0538584256	-0.0823050388	-0.0214551838	0.0253886202	-0.0516475635	-0.0232583356	0.1310585317	0.0348472695	0.0101031248	0.0515503007	-0.0002946261	0.115898213	0.1124917325	0.1068882358	0.0	0.0	-0.0353401	-0.0038964	1.518193296000001e-05	0.00124892266801	-0.321048	0.0159219999999999	0.103071818304	0.0002535100839999	0.503572	-0.012757	0.000162741049	0.253584759184	-0.0343699	-0.00025	6.250000000000013e-08	0.00118129002601	0.00108477	-0.0001246599999999	1.5540115599999993e-08	1.1767259529000005e-06	-0.00209017	-0.00024912	4.368810628900001e-06	6.206077440000001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
963.5804066678636	-0.3645773098636482	928487.2001142054	0.1329166148674145	967.8674235516283	-0.0968899554516156	936767.3495724672	0.009387663467416	884.1976896289227	0.1875294883175229	781805.5543451248	0.0351673089886319	899.865812136283	730.7149554557144	0.8230889999999998	14.528461	0.08228945	0.0536592	-0.0486961297	0.083509684	0.1263599045	-0.0295428448	0.1172171517	-0.1361832985	-0.0155935496	-0.0417561536	-0.1243709651	0.0234133931	-0.0650940921	0.0011145172	0.006138295	0.0530714812	0.0017729061	0.0377736332	-0.0683768533	0.0351810567	-0.0991639351	-0.0153639001	0.0601675452	0.0176375007	-0.146547399	0.0703702405	-0.1100024529	0.100317858	0.0998037899	0.1076611194	0.091862578	-0.0108522017	0.0219356887	0.1384758909	0.0734981661	-0.0581028783	-0.0278349651	0.0174020918	0.1666434119	-0.1236629347	-0.1318962295	0.0516292223	0.0026316442	0.0528123739	-0.1743315976	-0.0698719146	-0.03099738	-0.0851741389	-0.0053833063	0.0519901368	0.0353441605	0.1676426056	-0.0568793318	0.0225583015	-0.0148247395	0.1081162274	0.0698213791	-0.0535561363	-0.0303647768	-0.0075631688	-0.03192488	0.0639064374	-0.1334150024	0.1903948847	-0.0126158935	-0.0406445271	0.0964337214	0.0146817537	0.0461366114	0.1427588161	0.0146548274	0.1862381273	-0.0198244713	-0.0497181888	-0.1013442837	-0.0250188401	0.1185785628	0.0273568572	-0.0759409387	-0.0327844515	-0.001190177	-0.0172177817	-0.0035695458	0.1086601981	-0.0605727559	-0.0304876269	-0.1914534548	-0.1128613898	-0.1208700012	-0.1058624498	0.1560056564	0.0111847522	0.1090742077	-0.1114838658	0.0798446168	0.0588232506	-0.0298350736	-0.0632018793	0.1507205727	0.0338800774	0.0268053581	0.0512131667	0.0200384893	0.1155203113	0.1109973273	0.1035897386	0.0	0.0	-0.0346293	0.0007107999999999	5.052366399999965e-07	0.00119918841849	-0.275642	0.045406	0.0759785121639999	0.002061704836	0.500734	-0.002838	8.054244000000041e-06	0.250734538756	-0.0338769	0.000493	2.430490000000004e-07	0.00114764435361	0.000953837	-0.000130933	1.7143450489000023e-08	9.09805022569e-07	-0.00204741	4.2760000000000194e-05	4.191887708099999e-06	1.8284176000000166e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
